Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
201,1.14,-0.010,-3.081,1,21,-0.002,-2.599,-0.002,-2.599,-3.064,2.91E-04,,,,,,,,,
202,1.177,0.027,-3.054,2,21,,,-0.002,-2.599,-3.067,1.63E-04,,,,,,,,,
203,1.133,-0.017,-3.070,3,21,,,-0.002,-2.599,-3.069,2.05E-06,,,,,,,,,
204,1.133,-0.017,-3.087,4,21,,,-0.002,-2.599,-3.071,2.44E-04,,,,,,,,,
205,1.15,0.000,-3.086,5,21,,,-0.002,-2.599,-3.074,1.64E-04,,,,,,,,,
206,1.177,0.027,-3.059,6,21,,,-0.002,-2.599,-3.076,2.89E-04,,,,,,,,,
207,1.17,0.020,-3.038,7,21,,,-0.002,-2.599,-3.078,1.59E-03,,,,,,,,,
208,1.127,-0.023,-3.061,8,21,,,-0.002,-2.599,-3.080,3.85E-04,,,,,,,,,
209,1.12,-0.030,-3.090,9,21,,,-0.002,-2.599,-3.083,5.71E-05,,,,,,,,,
210,1.12,-0.030,-3.120,10,21,,,-0.002,-2.599,-3.085,1.21E-03,,,,,,,,,
211,1.133,-0.017,-3.136,1,22,-0.016,0.323,-0.016,0.323,-3.140,1.69E-05,,,,,,,,,
212,1.127,-0.023,-3.159,2,22,,,-0.016,0.323,-3.157,3.93E-06,,,,,,,,,
213,1.14,-0.010,-3.168,3,22,,,-0.016,0.323,-3.173,2.43E-05,,,,,,,,,
214,1.127,-0.023,-3.191,4,22,,,-0.016,0.323,-3.190,1.35E-06,,,,,,,,,
215,1.13,-0.020,-3.210,5,22,,,-0.016,0.323,-3.206,1.81E-05,,,,,,,,,
216,1.133,-0.017,-3.227,6,22,,,-0.016,0.323,-3.223,1.89E-05,,,,,,,,,
217,1.133,-0.017,-3.243,7,22,,,-0.016,0.323,-3.239,1.97E-05,,,,,,,,,
218,1.133,-0.017,-3.260,8,22,,,-0.016,0.323,-3.255,2.05E-05,,,,,,,,,
219,1.15,0.000,-3.259,9,22,,,-0.016,0.323,-3.272,1.53E-04,,,,,,,,,
220,1.12,-0.030,-3.289,10,22,,,-0.016,0.323,-3.288,5.03E-07,,,,,,,,,
221,1.127,-0.023,-3.311,1,23,0.004,-4.120,0.004,-4.120,-3.336,6.26E-04,,,,,,,,,
222,1.147,-0.003,-3.314,2,23,,,0.004,-4.120,-3.333,3.60E-04,,,,,,,,,
223,1.13,-0.020,-3.333,3,23,,,0.004,-4.120,-3.329,1.66E-05,,,,,,,,,
224,1.15,0.000,-3.333,4,23,,,0.004,-4.120,-3.326,5.08E-05,,,,,,,,,
225,1.14,-0.010,-3.342,5,23,,,0.004,-4.120,-3.322,4.07E-04,,,,,,,,,
226,1.14,-0.010,-3.352,6,23,,,0.004,-4.120,-3.319,1.10E-03,,,,,,,,,
227,1.167,0.017,-3.334,7,23,,,0.004,-4.120,-3.315,3.71E-04,,,,,,,,,
228,1.163,0.013,-3.321,8,23,,,0.004,-4.120,-3.312,8.69E-05,,,,,,,,,
229,1.167,0.017,-3.303,9,23,,,0.004,-4.120,-3.308,2.14E-05,,,,,,,,,
230,1.193,0.043,-3.260,10,23,,,0.004,-4.120,-3.305,1.99E-03,,,,,,,,,
231,1.18,0.030,-3.229,1,24,-0.008,-1.291,-0.008,-1.291,-3.209,4.16E-04,,,,,,,,,
232,1.163,0.013,-3.216,2,24,,,-0.008,-1.291,-3.217,1.96E-06,,,,,,,,,
233,1.14,-0.010,-3.225,3,24,,,-0.008,-1.291,-3.226,4.00E-08,,,,,,,,,
234,1.147,-0.003,-3.228,4,24,,,-0.008,-1.291,-3.234,3.60E-05,,,,,,,,,
235,1.147,-0.003,-3.230,5,24,,,-0.008,-1.291,-3.242,1.39E-04,,,,,,,,,
236,1.137,-0.013,-3.243,6,24,,,-0.008,-1.291,-3.251,5.78E-05,,,,,,,,,
237,1.15,0.000,-3.242,7,24,,,-0.008,-1.291,-3.259,2.69E-04,,,,,,,,,
238,1.133,-0.017,-3.259,8,24,,,-0.008,-1.291,-3.267,6.72E-05,,,,,,,,,
239,1.113,-0.037,-3.295,9,24,,,-0.008,-1.291,-3.275,4.00E-04,,,,,,,,,
240,1.15,0.000,-3.295,10,24,,,-0.008,-1.291,-3.284,1.25E-04,,,,,,,,,
241,1.167,0.017,-3.277,1,25,0.004,-4.294,0.004,-4.294,-3.280,8.36E-06,,,,,,,,,
242,1.137,-0.013,-3.290,2,25,,,0.004,-4.294,-3.276,1.91E-04,,,,,,,,,
243,1.17,0.020,-3.269,3,25,,,0.004,-4.294,-3.272,6.11E-06,,,,,,,,,
244,1.157,0.007,-3.262,4,25,,,0.004,-4.294,-3.268,3.32E-05,,,,,,,,,
245,1.163,0.013,-3.249,5,25,,,0.004,-4.294,-3.264,2.27E-04,,,,,,,,,
246,1.15,0.000,-3.248,6,25,,,0.004,-4.294,-3.259,1.29E-04,,,,,,,,,
247,1.12,-0.030,-3.278,7,25,,,0.004,-4.294,-3.255,5.00E-04,,,,,,,,,
